modelo,evento,MAE_m,RMSE_m,R2,MAE_apenas_celulas_molhadas_m
Persistência,G1135_intensity_103,0.0022175724152475595,0.013115592300891876,0.9851000905036926,0.016257690265774727
Persistência,G1135_intensity_161,0.0019353334791958332,0.012075090780854225,0.9818894863128662,0.01685398817062378
Persistência,G1166_intensity_246,0.0021546767093241215,0.01313732098788023,0.9696528315544128,0.024725237861275673
Persistência,G3501_intensity_151,0.002111208625137806,0.01361148152500391,0.9856273531913757,0.012954289093613625
Regressão residual,G1135_intensity_103,0.0032136004883795977,0.012741511687636375,0.9859378933906555,0.015555628575384617
Regressão residual,G1135_intensity_161,0.002834250219166279,0.011886843480169773,0.9824497699737549,0.01625937409698963
Regressão residual,G1166_intensity_246,0.003222298575565219,0.012872233055531979,0.9708651900291443,0.023236507549881935
Regressão residual,G3501_intensity_151,0.003138973144814372,0.013320612721145153,0.9862350821495056,0.012288881465792656
Mini U-RNN,G1135_intensity_103,0.003137937281280756,0.01399928517639637,0.9830245971679688,0.017476655542850494
Mini U-RNN,G1135_intensity_161,0.0027931907679885626,0.012288866564631462,0.9812425971031189,0.017577990889549255
Mini U-RNN,G1166_intensity_246,0.002983790822327137,0.013376639224588871,0.9685370922088623,0.025106562301516533
Mini U-RNN,G3501_intensity_151,0.002996559487655759,0.014215868897736073,0.9843226671218872,0.013898962177336216
U-RNN Lite U-like,G1135_intensity_103,0.0035094439517706633,0.013998840935528278,0.9830256700515747,0.017625359818339348
U-RNN Lite U-like,G1135_intensity_161,0.0031603544484823942,0.012299529276788235,0.9812099933624268,0.017741432413458824
U-RNN Lite U-like,G1166_intensity_246,0.0033337168861180544,0.013362753205001354,0.9686024188995361,0.025059418752789497
U-RNN Lite U-like,G3501_intensity_151,0.0033702810760587454,0.014212545938789845,0.9843299984931946,0.014021839015185833
